,住所CD,都道府県CD,市区町村CD,町域CD,郵便番号,事業所フラグ,廃止フラグ,都道府県,都道府県カナ,市区町村,市区町村カナ,町域,町域カナ,町域補足,京都通り名,字丁目,字丁目カナ,補足,事業所名,事業所名カナ,事業所住所,新住所CD,住所,lat,lonn
46538,161850800,13,13104,131040030,161-8508,1,0,東京都,トウキョウト,新宿区,シンジュクク,上落合,カミオチアイ,,,,,,株式会社　オーバル,カブシキガイシヤ　オ－バル,上落合３丁目１０－８,,東京都新宿区上落合３丁目１０－８,35.710307,
46539,161851100,13,13104,131040030,161-8511,1,0,東京都,トウキョウト,新宿区,シンジュクク,上落合,カミオチアイ,,,,,,下田商事　株式会社,シモダシヨウジ　カブシキカイシヤ,上落合２丁目２６－５,,東京都新宿区上落合２丁目２６－５,35.710807,
46541,162866600,13,13104,131040031,162-8666,1,0,東京都,トウキョウト,新宿区,シンジュクク,河田町,カワダチョウ,,,,,,学校法人　東京女子医科大学,ガツコウホウジン　トウキヨウジヨシイカダイガク,河田町８－１,,東京都新宿区河田町８－１,35.69702,
46544,169888500,13,13104,131040033,169-8885,1,0,東京都,トウキョウト,新宿区,シンジュクク,北新宿,キタシンジュク,,,,,,アキレス　株式会社,アキレス　カブシキガイシヤ,北新宿２丁目２１番１号新宿フロントタワー,,東京都新宿区北新宿２丁目２１番１号新宿フロントタワー,35.696088,
46545,169856100,13,13104,131040033,169-8561,1,0,東京都,トウキョウト,新宿区,シンジュクク,北新宿,キタシンジュク,,,,,,新宿税務署,シンジユクゼイムシヨ,北新宿１丁目１９－３,,東京都新宿区北新宿１丁目１９－３,35.698165,
46546,169822800,13,13104,131040033,169-8228,1,0,東京都,トウキョウト,新宿区,シンジュクク,北新宿,キタシンジュク,,,,,,株式会社　ライトアップショッピングクラブ,カブシキガイシヤ　ライトアツプシヨツピングクラブ,北新宿２－２１－１,,東京都新宿区北新宿２－２１－１,35.696092,
46549,162850500,13,13104,131040035,162-8505,1,0,東京都,トウキョウト,新宿区,シンジュクク,北山伏町,キタヤマブシチョウ,,,,,,株式会社　日本スタデオ,カブシキガイシヤ　ニツポンスタデオ,北山伏町１－１１,,東京都新宿区北山伏町１－１１,35.699569,
46552,160850100,13,13104,131040038,160-8501,1,0,東京都,トウキョウト,新宿区,シンジュクク,左門町,サモンチョウ,,,,,,株式会社　サンミュージックプロダクション,カブシキガイシヤ　サンミユ－ジツクプロダクシヨン,左門町４四谷アネックス,,東京都新宿区左門町４四谷アネックス,35.687244,
46554,160868000,13,13104,131040040,160-8680,1,0,東京都,トウキョウト,新宿区,シンジュクク,信濃町,シナノマチ,,,,,,あんしん財団　「楽しいイベント」係,アンシンザイダン　＜タノシイイベント＞ガカリ,信濃町３４ＪＲ信濃町ビル５Ｆ,,東京都新宿区信濃町３４ＪＲ信濃町ビル５Ｆ,35.680088,
46555,160858900,13,13104,131040040,160-8589,1,0,東京都,トウキョウト,新宿区,シンジュクク,信濃町,シナノマチ,,,,,,東鉄工業　株式会社,トウテツコウギヨウ　（カ,信濃町３４ＪＲ信濃町ビル,,東京都新宿区信濃町３４ＪＲ信濃町ビル,35.680088,
46556,160858800,13,13104,131040040,160-8588,1,0,東京都,トウキョウト,新宿区,シンジュクク,信濃町,シナノマチ,,,,,,（財）　民主音楽協会,ザイダンホウジン　ミンシユオンガクキヨウカイ,信濃町８,,東京都新宿区信濃町８,35.68272,
46557,160858300,13,13104,131040040,160-8583,1,0,東京都,トウキョウト,新宿区,シンジュクク,信濃町,シナノマチ,,,,,,創価学会,ソウカガツカイ,信濃町３２,,東京都新宿区信濃町３２,35.681307,
46558,160858200,13,13104,131040040,160-8582,1,0,東京都,トウキョウト,新宿区,シンジュクク,信濃町,シナノマチ,,,,,,慶應義塾大学　医学部,ケイオウギジユクダイガク　イガクブ,信濃町３５,,東京都新宿区信濃町３５,35.681433,
46559,160807000,13,13104,131040040,160-8070,1,0,東京都,トウキョウト,新宿区,シンジュクク,信濃町,シナノマチ,,,,,,聖教新聞社,セイキヨウシンブンシヤ,信濃町１８,,東京都新宿区信濃町１８,35.683487,
46560,160853500,13,13104,131040040,160-8535,1,0,東京都,トウキョウト,新宿区,シンジュクク,信濃町,シナノマチ,,,,,,あんしん財団　災害防止部,アンシンザイダン　サイガイボウシブ,信濃町３４番ＪＲ信濃町ビル５階,,東京都新宿区信濃町３４番ＪＲ信濃町ビル５階,35.680088,
46562,161855300,13,13104,131040041,161-8553,1,0,東京都,トウキョウト,新宿区,シンジュクク,下落合,シモオチアイ,,,,,,株式会社　日本コンサルタントグループ,カブシキガイシヤ　ニホンコンサルタントグル－プ,下落合３丁目２２－１５,,東京都新宿区下落合３丁目２２－１５,35.722596,
46563,161854000,13,13104,131040041,161-8540,1,0,東京都,トウキョウト,新宿区,シンジュクク,下落合,シモオチアイ,,,,,,エステー　株式会社,エステ－　カブシキガイシヤ,下落合１丁目４－１０,,東京都新宿区下落合１丁目４－１０,35.715266,
46564,161855800,13,13104,131040041,161-8558,1,0,東京都,トウキョウト,新宿区,シンジュクク,下落合,シモオチアイ,,,,,,一世印刷　株式会社,イツセイインサツ　カブシキガイシヤ,下落合２丁目６－２２,,東京都新宿区下落合２丁目６－２２,35.716658,
46565,161855600,13,13104,131040041,161-8556,1,0,東京都,トウキョウト,新宿区,シンジュクク,下落合,シモオチアイ,,,,,,学校法人　東京富士大学,ガツコウホウジン　トウキヨウフジダイガク,下落合１丁目７－７,,東京都新宿区下落合１丁目７－７,35.715416,
